sector,layer,median_price,transaction_count,ew_percentile,neighbour_count,neighbourhood_median,pct_above_neighbourhood,low_transaction_count,min_sales_threshold,priced_neighbour_count,low_count_neighbour_count,has_geometry,analysis_status
NP25 4,2,510000.0,111,85.96544591799488,21,315000.0,0.6190476190476191,False,20,21,0,True,ok
SW1W 9,2,2550000.0,115,99.72016060347974,19,1575000.0,0.6190476190476191,False,20,19,0,True,ok
NE66 5,2,445000.0,11,79.26146733179219,9,275000.0,0.6181818181818182,True,20,9,0,True,ok
L5 1,2,171500.0,32,14.679401387030053,15,106000.0,0.6179245283018868,False,20,15,1,True,ok
NE3 5,2,354000.0,355,63.91288477917022,27,219372.5,0.6136936033459071,False,20,27,0,True,ok
BS32 4,2,580000.0,129,90.64971407713831,34,360000.0,0.6111111111111112,False,20,34,0,True,ok
CF64 5,2,390000.0,356,70.97578780873586,14,242500.0,0.6082474226804124,False,20,14,0,True,ok
NE45 5,2,407950.0,217,73.47609198199294,24,253750.0,0.6076847290640395,False,20,24,1,True,ok
KT17 3,2,860000.0,168,97.2259398953644,17,535000.0,0.6074766355140186,False,20,17,0,True,ok
L12 5,2,245000.0,110,36.05061442997932,25,152500.0,0.6065573770491803,False,20,25,5,True,ok
M7 4,2,350000.0,203,63.219369753011314,26,218000.0,0.6055045871559632,False,20,26,0,True,ok
TS27 3,2,207500.0,400,24.83270470860202,22,129250.0,0.6054158607350097,False,20,22,1,True,ok
CW4 8,2,472500.0,196,82.40053534493246,25,295000.0,0.6016949152542372,False,20,25,0,True,ok
CV4 7,2,498000.0,99,84.78525368049641,24,311000.0,0.6012861736334405,False,20,24,0,True,ok
DL13 3,2,255000.0,120,39.06801314028471,32,159250.0,0.6012558869701727,False,20,32,0,True,ok
W1G 9,2,2300000.0,29,99.6471590217788,20,1442025.25,0.5949790060888323,False,20,20,7,True,ok
