sector,transaction_count,median_price,mean_price,p25_price,p75_price,ew_percentile,low_transaction_count,min_sales_threshold
BA13 2,47,340000.0,350010.6382978723,282500.0,393500.0,61.309161698503466,False,20
BA13 3,684,255000.0,261086.5,205000.0,310000.0,39.068013140284705,False,20
BA13 4,390,315000.0,349769.1974358974,250000.0,390000.0,55.170945370483025,False,20
BA14 0,554,256500.0,266024.4657039711,218000.0,306750.0,39.5972746076165,False,20
BA14 6,291,380000.0,432491.8728522337,285000.0,562500.0,69.34541915074827,False,20
BA14 7,755,305000.0,324366.1920529801,235500.0,380000.0,52.81664436062782,False,20
BA14 8,357,215000.0,223733.57703081233,145000.0,285000.0,26.998418299063147,False,20
BA14 9,304,285000.0,322868.5789473684,240750.0,360000.0,47.773451758121425,False,20
BA15 1,453,385000.0,437700.81677704194,300000.0,540000.0,70.2214381311595,False,20
BA15 2,152,484000.0,561507.6513157894,375000.0,682500.0,83.48947560530479,False,20
BA16 0,439,275000.0,291734.4555808656,210000.0,335000.0,44.84730502494221,False,20
BA16 9,92,258250.0,265680.3804347826,215000.0,313125.0,39.93186519041246,False,20
BA2 0,201,360000.0,437664.4278606965,300000.0,520000.0,65.14174473780265,False,20
BA2 1,335,334500.0,346568.7671641791,280000.0,411000.0,59.97079936731963,False,20
BA2 2,480,380000.0,464968.1145833333,320000.0,501248.75,69.34541915074827,False,20
BA2 3,331,400000.0,445654.4410876133,314250.0,511000.0,72.52707141988076,False,20
BA2 4,302,585000.0,721437.1953642385,350000.0,833750.0,90.9295534736586,False,20
BA2 5,416,565000.0,581871.8725961539,378000.0,661750.0,89.68244311960093,False,20
BA2 6,410,740000.0,905730.8682926829,433875.0,1173750.0,95.72332400535345,False,20
BA2 7,191,640000.0,786777.387434555,473250.0,960000.0,93.16218518067892,False,20
BA2 8,303,320000.0,388180.29372937296,255000.0,447499.5,56.54580849251734,False,20
BA2 9,41,472000.0,619201.4634146341,350000.0,800000.0,82.31536683294804,False,20
BA20 1,122,151000.0,176102.50819672132,115000.0,215000.0,9.891714320476943,False,20
BA20 2,355,260000.0,285439.4338028169,210000.0,342500.0,40.716632193697535,False,20
BA21 3,676,243000.0,265976.8461538461,190000.0,330000.0,35.55177028835625,False,20
BA21 4,351,210000.0,214440.06837606838,157250.0,265000.0,25.6053047816036,False,20
BA21 5,489,205000.0,214061.75255623722,172000.0,245000.0,24.20610779900231,False,20
BA22 7,139,425000.0,479694.24460431654,288750.0,600000.0,76.45698990144787,False,20
BA22 8,527,260000.0,299331.08159392787,214995.0,345000.0,40.716632193697535,False,20
BA22 9,198,306992.5,386086.85353535356,225000.0,471750.0,53.145151478282024,False,20
BA3 2,444,310000.0,326690.51801801805,245000.0,392000.0,53.948168876992334,False,20
BA3 3,429,265000.0,274845.1282051282,235000.0,300000.0,42.18274729285801,False,20
BA3 4,312,352750.0,397844.9711538461,280000.0,460000.0,63.79121547633532,False,20
BA3 5,276,319000.0,403512.3152173913,240000.0,491250.0,55.91312811777589,False,20
BA4 4,192,318500.0,396073.1770833333,250000.0,508125.0,55.827959605791456,False,20
BA4 5,338,240000.0,263975.04142011836,185350.0,310000.0,34.59058279596058,False,20
BA4 6,158,342750.0,476621.93037974683,246125.0,543750.0,61.783671979559564,False,20
BA5 1,343,340000.0,384767.2536443149,248000.0,492500.0,61.309161698503466,False,20
BA5 2,418,313750.0,353502.05502392346,230000.0,421125.0,54.787687066553104,False,20
BA5 3,189,370000.0,432113.164021164,267000.0,500000.0,67.1067039785862,False,20
BA6 8,304,370000.0,427467.59539473685,260000.0,485000.0,67.1067039785862,False,20
BA6 9,350,255000.0,265654.9542857143,172500.0,336875.0,39.068013140284705,False,20
BA7 7,180,290000.0,359225.64444444445,213000.0,421250.0,48.89280934420246,False,20
BA8 0,203,300000.0,349689.33497536945,220000.0,417500.0,51.65470251855457,False,20
BA9 8,46,452000.0,660250.0,365750.0,737500.0,80.5268280812751,False,20
BA9 9,344,272500.0,297798.60755813954,195000.0,350000.0,44.11120574279109,False,20
BB1 1,125,115000.0,120998.8,80000.0,150000.0,3.0295656405888796,False,20
BB1 2,283,138000.0,146369.25795053004,102250.0,175000.0,6.892566005596788,False,20
BB1 3,104,138975.0,139198.65384615384,118250.0,168500.0,7.008151843289938,False,20
BB1 4,319,137500.0,150218.605015674,90000.0,195000.0,6.764813237620149,False,20
BB1 5,147,140000.0,150574.14965986394,117500.0,180000.0,7.409660542645091,False,20
BB1 6,39,125000.0,132840.33333333334,105000.0,150000.0,4.4652634140406375,False,20
BB1 7,31,140000.0,149112.90322580645,107500.0,185250.0,7.409660542645091,False,20
BB1 8,415,204250.0,216296.2168674699,154000.0,275250.0,23.88368414648984,False,20
BB1 9,474,209500.0,242330.91772151898,130250.0,305000.0,25.082126779413557,False,20
BB10 1,381,80000.0,102344.34645669292,63750.0,135000.0,0.4988441416230685,False,20
BB10 2,504,166500.0,180145.45634920636,117875.0,227125.0,13.474875288964594,False,20
BB10 3,346,139975.0,180572.76011560694,80250.0,265750.0,7.099403820416109,False,20
BB10 4,515,144000.0,182436.3359223301,92250.0,240000.0,8.030173987103053,False,20
BB11 1,26,128000.0,123220.07692307692,107000.0,165454.0,5.085776858498601,False,20
BB11 2,232,117500.0,136162.3922413793,75000.0,170575.0,3.2850711765421585,False,20
BB11 3,205,85000.0,111679.43902439025,57000.0,152000.0,0.6691811655919212,False,20
BB11 4,352,93149.5,116626.16477272728,55750.0,160000.0,1.0828567952305632,False,20
BB11 5,231,163000.0,176894.7619047619,105000.0,228975.0,12.574522447986372,False,20
BB12 0,294,170000.0,172352.7993197279,95750.0,230125.0,14.296143083100135,False,20
BB12 6,498,128000.0,148362.39156626505,87000.0,199987.5,5.085776858498601,False,20
BB12 7,369,160000.0,189273.17886178862,98000.0,227500.0,11.856673561260495,False,20
BB12 8,411,125000.0,152229.14355231143,82000.0,196750.0,4.4652634140406375,False,20
BB12 9,160,267500.0,305171.25,207250.0,382750.0,42.84584499330819,False,20
BB18 5,454,150000.0,181551.94933920706,122125.0,224625.0,9.465871760554812,False,20
BB18 6,497,155000.0,184521.7847082495,121000.0,220000.0,10.700815184328993,False,20
BB2 1,89,98000.0,103035.39325842696,80000.0,115000.0,1.435697773451758,False,20
BB2 2,192,110000.0,124259.09895833333,85000.0,145000.0,2.463803382406619,False,20
BB2 3,404,145000.0,163475.44059405942,105000.0,232996.25,8.316096848765056,False,20
BB2 4,615,130000.0,143676.67642276423,88000.0,175000.0,5.493369022995498,False,20
BB2 5,725,265000.0,273925.0027586207,190000.0,342995.0,42.18274729285801,False,20
BB2 6,275,135000.0,172336.44,100000.0,190000.0,6.3328872125562725,False,20
BB2 7,426,272950.0,303193.5305164319,217087.5,349987.5,44.208541185059005,False,20
BB3 0,395,156500.0,177874.60506329115,112250.0,223497.5,11.090156953400657,False,20
BB3 1,325,127000.0,145175.19692307693,91000.0,172500.0,4.8971894391045145,False,20
BB3 2,468,148000.0,171719.97863247863,110000.0,200000.0,8.94877722350651,False,20
BB3 3,693,197000.0,205820.95093795093,124950.0,270000.0,21.936975301131525,False,20
BB4 4,288,245250.0,266117.9513888889,180000.0,311500.0,36.33653729164132,False,20
BB4 5,252,125000.0,141807.45634920636,105000.0,155000.0,4.4652634140406375,False,20
BB4 6,311,230000.0,254408.42443729902,153250.0,335000.0,31.71918724905706,False,20
BB4 7,283,190000.0,243362.0,146100.0,288750.0,19.959849130064487,False,20
BB4 8,492,230423.0,259297.47967479675,160000.0,325000.0,32.181530599829664,False,20
BB4 9,225,165000.0,197413.12444444443,135000.0,222500.0,13.079450054751184,False,20
BB5 0,298,93500.0,107746.75838926174,67625.0,145000.0,1.095023725514053,False,20
BB5 1,96,75000.0,78543.21875,58375.0,91250.0,0.2980897919454922,False,20
BB5 2,329,170000.0,194236.88145896656,120000.0,240000.0,14.296143083100135,False,20
BB5 3,347,124950.0,140540.56195965418,97750.0,165000.0,4.215841343229103,False,20
BB5 4,379,138000.0,142135.60686015832,100000.0,175000.0,6.892566005596788,False,20
BB5 5,492,150000.0,158341.0894308943,106750.0,205000.0,9.465871760554812,False,20
BB5 6,452,121000.0,140805.77433628318,88000.0,175375.0,3.8812507604331428,False,20
BB6 7,559,140000.0,173310.42754919498,98997.5,227995.5,7.409660542645091,False,20
BB6 8,182,350000.0,418763.73626373627,227962.5,500000.0,63.219369753011314,False,20
BB7 1,488,217997.5,244878.9836065574,155000.0,302121.25,27.764934906922985,False,20
BB7 2,532,249995.0,273603.0977443609,192375.0,333875.0,37.103053899501155,False,20
BB7 3,83,429000.0,546217.469879518,317500.0,662500.0,77.04708602019711,False,20
BB7 4,198,329975.0,403023.8585858586,233125.0,524000.0,58.741939408687195,False,20
BB7 9,677,350000.0,374807.31757754803,235000.0,460000.0,63.219369753011314,False,20
BB8 0,226,118475.0,130969.47345132743,80250.0,163375.0,3.4067404793770533,False,20
BB8 7,254,237225.0,268611.2007874016,167000.0,339987.5,33.7632315366833,False,20
BB8 8,260,174750.0,188015.9,110000.0,245000.0,15.159995133227886,False,20
BB8 9,301,123000.0,143285.96013289035,95000.0,163000.0,4.063754714685485,False,20
BB9 0,468,111250.0,134100.72222222222,76875.0,168000.0,2.6402238715172164,False,20
BB9 5,264,124975.0,127845.76893939394,75875.0,163875.0,4.234091738654337,False,20
BB9 6,250,240000.0,280147.928,149962.5,350000.0,34.59058279596058,False,20
BB9 7,151,77000.0,81127.43708609272,60000.0,95500.0,0.40759216449689745,False,20
BB9 8,361,113500.0,129235.19667590028,82500.0,158000.0,2.828811290911303,False,20
BB9 9,227,80000.0,98165.11894273128,58000.0,126500.0,0.4988441416230685,False,20
BD1 1,10,46500.0,46200.0,39750.0,52000.0,0.0486677211339579,True,20
BD1 2,54,122500.0,103749.75925925926,59250.0,139625.0,3.990753132984548,False,20
BD1 3,45,95000.0,104061.08888888889,90000.0,120000.0,1.228859958632437,False,20
BD1 4,38,114000.0,100092.1052631579,48750.0,134000.0,2.8592286166200265,False,20
BD1 5,124,130000.0,114391.17741935483,64750.0,152941.0,5.493369022995498,False,20
BD10 0,440,205000.0,237822.45681818182,145000.0,295000.0,24.20610779900231,False,20
